City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Amaravati,9/2/2018,30.6,76.16,7.16,24.63,18.91,22.37,1.71,11.64,24.36,0.11,0.18,0.12,99
Amaravati,9/3/2018,21.81,78.68,12.19,23.75,22.67,21.76,1.64,11.8,29.05,0.09,0.07,,94
Amaravati,9/4/2018,24.22,86.08,9.81,26.49,22.16,21.11,1.68,11.54,26.93,0.09,0.1,0.1,98
Amaravati,9/5/2018,19.82,71.36,5.45,17.14,13.64,20.62,1.82,12.89,29.25,0.07,0.09,,102
Amaravati,9/6/2018,25.11,81.43,6.01,21.87,16.61,16.71,1.57,11.73,31.81,0.09,0.08,,96
Amaravati,9/7/2018,31.3,101.05,9.49,25.22,21.23,18.06,1.48,11.06,35.61,0.08,0.16,0.1,90
Amaravati,9/8/2018,27.1,89.38,11.58,21.31,20.76,23.69,1.54,10.21,28.77,0.08,0.11,0.1,106
Amaravati,9/10/2018,26.73,71.95,12.65,30.67,26.74,23.97,1.32,12.74,37.63,0.04,0.11,0.13,
Amaravati,9/11/2018,33.28,75.5,10.44,32.4,25.96,23.03,1.11,8.91,30.15,0.07,0.07,0.1,88
Amaravati,9/12/2018,40.66,82.62,4.78,23.58,16.52,21.37,0.76,10.9,38.55,0.05,0.03,,103
Amaravati,9/13/2018,40.56,66.97,2.56,17.56,11.42,22.66,0.62,11.29,37.87,0.07,0.11,0.1,76
Amaravati,9/14/2018,37.93,67.4,3.85,20.86,14.32,19.44,0.78,8.91,34.81,0.07,0.17,0.14,68
Amaravati,9/15/2018,31.64,69.39,2.6,18.65,11.86,24.14,0.66,9.58,39.56,0.06,0.07,0.1,75
Amaravati,9/17/2018,27.69,49.21,7.18,27.31,20.52,19.1,1.56,9.59,40.29,0.04,0.07,0.1,
Amaravati,9/18/2018,22.12,34.83,3.73,16.1,11.69,18.14,1.34,10.48,41.51,0.01,0.02,,89
Amaravati,9/19/2018,29.25,52.84,4.16,17.41,12.79,17.82,0.81,11.24,42.2,0,0.03,,79
Amaravati,9/20/2018,38.32,80.97,3.61,26.27,16.89,18.04,0.65,13.38,25.95,0.05,0.18,,65
