City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Amaravati,2/22/2020,27.13,54.16,1.78,12.98,8.34,10.6,0.48,20.2,39.74,0.49,6.94,0.13,60
Amaravati,2/23/2020,34.81,62.43,1.99,14.44,9.3,12.6,0.77,13,44.47,0.44,2.7,0.15,82
Amaravati,2/24/2020,31.66,53.22,1.94,9.29,6.53,14.42,0.62,15.94,46.68,0.18,1.19,0.12,68
Amaravati,2/25/2020,24.86,47.43,2.38,10.73,7.64,12.94,0.61,16.73,39.9,0.22,0.5,0.12,53
Amaravati,2/26/2020,31.28,59.42,2.46,13.15,8.99,15.78,0.81,19.56,40.48,0.43,1.57,0.18,78
Amaravati,2/27/2020,38.85,67.95,2.65,13.49,9.33,14.82,0.86,22.27,43.97,0.28,1.8,0.16,73
Amaravati,2/28/2020,31.99,57.18,2.22,10.99,7.67,14,0.66,23.6,51.47,0.43,1.47,0.11,68
Amaravati,2/29/2020,35.99,59.72,1.87,10.24,6.96,13.49,0.52,18.21,51.81,0.32,0.83,0.12,65
Amaravati,3/1/2020,32.99,56.46,1.68,8.29,5.77,12.67,0.48,19.32,52.32,0.26,0.5,0.13,67
Amaravati,3/2/2020,39.84,62.14,2.35,11.69,8.11,12.86,0.56,24.7,49.09,0.25,0.63,0.17,67
Amaravati,3/3/2020,40.19,64.95,2.55,10.71,7.77,12.84,0.58,22.82,45.68,0.27,0.64,0.14,70
Amaravati,3/4/2020,35.95,59.47,2.76,12.61,8.95,12.21,0.55,17.88,38.71,0.28,0.69,0.12,66
Amaravati,3/5/2020,20.14,31.66,2.18,7.85,5.94,10.82,0.49,18.35,26.21,0.13,0.32,0.1,47
Amaravati,3/6/2020,19,31.65,1.94,5.45,4.48,10.31,0.48,17.86,29.66,0.14,0.18,,36
Amaravati,3/7/2020,14.26,24.49,2.46,6.19,5.28,10.4,0.52,12.13,26.65,0.13,0.29,0.1,35
Amaravati,3/8/2020,10.28,22.95,2.09,8.15,6.03,8.47,0.49,29.5,24.62,0.1,0.42,0.1,35
Amaravati,3/9/2020,12.37,22.79,3.17,9.77,7.78,9.65,0.54,18.18,19.25,0.09,0.69,0.1,42
Amaravati,3/10/2020,10.63,22.11,2.43,7.78,6.12,9.32,0.46,25.19,24.48,0.09,0.56,0.1,35
Amaravati,3/11/2020,11.08,19.3,2.13,5.99,4.92,8.81,0.48,20.86,23.99,0.03,0.33,,35
Amaravati,3/12/2020,12.73,24.73,2.25,5.62,4.83,10.53,0.49,17.37,25.1,0.01,0.26,,38
Amaravati,3/13/2020,18.17,33.52,2.24,5.74,4.88,9.23,0.45,14.83,25.04,0.02,0.24,,35
Amaravati,3/14/2020,23.78,44.16,1.98,8.07,5.91,9.98,0.49,21.65,27.22,0.11,0.65,0.18,48
Amaravati,3/15/2020,25.83,45.42,2.21,7.94,6.02,9.82,0.47,22.1,28.67,0.18,0.78,0.19,48
Amaravati,3/16/2020,27.28,47.52,2.65,9.42,7.16,10.82,0.57,19.49,28.25,0.19,0.88,0.13,48
Amaravati,3/17/2020,31.49,49.92,1.93,8.93,6.32,10.09,0.64,19.67,34.5,0.18,0.6,0.1,54
Amaravati,3/18/2020,19.45,36.11,2.41,9.54,7.05,9.35,0.58,16.2,31.44,0.11,0.56,0.1,48
Amaravati,3/19/2020,18.86,35.92,2.32,8.13,6.23,9.31,0.55,19.8,32.35,0.1,0.56,0.1,51
Amaravati,3/20/2020,15.23,28.92,2.14,7.4,5.67,10.07,0.49,25.54,28.78,0.08,0.51,0.1,43
Amaravati,3/21/2020,13.9,26.07,1.78,5.15,4.18,8.51,0.49,23.29,25.43,0.04,0.29,0.15,37
Amaravati,3/22/2020,25.49,42.7,1.46,4.19,3.42,10.08,0.48,23,27.87,0.05,0.24,,39
Amaravati,3/23/2020,26.01,50.98,1.54,4.65,3.73,8.62,0.45,24.44,29.73,0.07,0.33,0.1,51
Amaravati,3/24/2020,17.19,39.17,1.39,4.81,3.69,7.58,0.46,20.71,28.52,0.08,0.42,0.14,47
Amaravati,3/25/2020,16.77,35.65,1.38,4.29,3.41,7.58,1.47,18.95,27.74,0.07,0.33,0.1,101
Amaravati,3/26/2020,23.67,44.23,1.58,4.99,3.94,7.93,0.66,18.8,29.32,0.15,0.66,0.16,108
Amaravati,3/27/2020,25.36,50.63,1.51,4.69,3.74,8.2,0.23,21.49,37.28,0.08,0.31,0.1,52
Amaravati,3/28/2020,25.12,52.01,1.52,4.71,3.74,7.88,0.25,22.1,43.19,0.09,0.39,0.15,61
Amaravati,3/29/2020,26.96,53.31,1.29,5.11,3.77,7.91,0.37,19.29,38.57,0.13,0.65,0.1,58
Amaravati,3/30/2020,30.36,60.36,1.45,5.2,3.92,8.01,0.37,22.14,45.51,0.11,0.25,,58
Amaravati,3/31/2020,29.86,55.8,1.39,4.52,3.54,8.81,0.28,23.12,44.17,0.08,0.33,0.1,69
Amaravati,4/1/2020,34.77,63.95,1.4,5.03,3.81,9.07,0.25,25.11,40.76,0.11,0.47,0.1,69
Amaravati,4/2/2020,29.77,59.98,1.38,4.32,3.42,8.71,,20.53,32.28,0.07,0.29,0.1,59
Amaravati,4/3/2020,30.52,54.56,1.38,4.05,3.27,8.95,,29.01,19.3,0.04,0.33,,59
Amaravati,4/4/2020,30.58,53.17,1.41,3.65,3.09,8.16,,21.14,30.65,0.05,0.2,0.1,55
Amaravati,4/5/2020,23.9,46.95,1.34,3.93,3.18,7.68,,19.38,25.31,0.02,0.26,0.18,51
Amaravati,4/6/2020,16.28,33.84,1.54,3.77,3.25,7.66,,20.08,17.23,0.02,0.18,,39
Amaravati,4/7/2020,11.01,28.46,1.46,3.53,3.07,7.63,,17.69,16.26,0.04,0.19,,30
Amaravati,4/8/2020,16.58,36.98,1.45,4.27,3.46,7.28,,19.86,25.67,0.01,0.22,0.1,38
Amaravati,4/9/2020,18.11,38.01,1.51,5.44,4.12,7.74,,24.28,43.68,0.15,0.49,0.1,52
Amaravati,4/10/2020,21.17,41.26,1.3,6.54,4.25,6.25,0,13.94,36.65,0.32,1.26,0.17,53
Amaravati,4/11/2020,13.72,31.06,1.4,4.58,3.58,6.74,0,15.56,26.1,0.05,0.54,0.16,42
Amaravati,4/12/2020,16.75,36.94,1.33,4.59,3.53,6.79,0,13.59,25.74,0.05,0.36,,44
Amaravati,4/13/2020,18.38,40.46,1.31,4.91,3.66,7.17,0,14.3,27.51,0.05,0.38,0.1,47
Amaravati,4/14/2020,19.77,45.79,1.4,4.99,3.77,7.23,0,14.56,26.57,0.06,0.36,,50
Amaravati,4/15/2020,18.62,45.2,1.48,4.5,3.6,6.92,0,14.12,30.13,0.06,0.29,0.1,51
Amaravati,4/16/2020,17.21,38.03,1.45,4.4,3.53,6.84,0,13.37,24.22,0.03,0.28,,43
Amaravati,4/17/2020,13.28,40.72,1.37,4.83,3.68,7.29,0,12.24,25.98,0.06,0.31,0.1,40
Amaravati,4/18/2020,7.38,26.67,1.37,3.7,3.09,6.49,,13.63,25.12,0.02,0.25,,41
Amaravati,4/19/2020,7.59,24.92,1.44,3.52,3.04,6.17,,13.62,23.68,0.03,0.23,,35
Amaravati,4/20/2020,7.81,23.53,1.5,4.13,3.42,6.17,,15.82,19.01,0.01,0.25,0.1,30
Amaravati,4/21/2020,7.35,20.8,1.47,4.16,3.4,5.9,,13.92,18.71,0.02,0.25,,26
Amaravati,4/22/2020,9.51,24.12,1.32,3.97,2.97,6.56,0,12.29,19.18,0.05,0.23,,26
Amaravati,4/23/2020,11.34,26.66,1.39,3.97,3.24,6.59,0,,21.01,0.02,0.23,,30
Amaravati,4/24/2020,9.36,26.24,1.39,3.87,3.19,6.41,0,,22.75,0.02,0.19,,31
Amaravati,4/25/2020,14.44,38.88,1.36,4.26,3.38,6.81,0,,31,0,0.2,,43
Amaravati,4/26/2020,11.9,29.15,1.33,6.18,4.37,5.43,0,,44.57,0.06,0.31,,56
Amaravati,4/27/2020,16.45,32.26,1.41,5.66,4.17,7,0,,36.76,0.06,0.24,,52
Amaravati,4/28/2020,10.61,33.88,1.46,5.21,3.95,5.9,0,,32.29,0.05,0.43,0.12,41
Amaravati,4/29/2020,35.38,63.42,1.42,11.76,7.42,7.98,0,,34.99,0.36,0.81,0.1,43
Amaravati,4/30/2020,26.8,50.65,1.35,6.22,4.41,7.86,0,19.3,39.46,0.08,0.47,,56
Amaravati,5/1/2020,28.33,54.31,1.4,4.92,3.75,9.08,,14.34,37.13,0.03,0.3,,51
Amaravati,5/2/2020,24.11,50.38,1.37,4.1,3.3,9.1,,8.61,36.34,0.01,0.22,,60
Amaravati,5/3/2020,21.42,54.69,1.45,4.25,3.44,8.33,,7.58,31.83,0.01,0.25,,52
Amaravati,5/4/2020,22.79,56.2,1.46,4.24,3.44,8.16,,7.55,30.11,0.03,0.25,,55
Amaravati,5/5/2020,,11,1.12,10.39,4.17,5.07,,20.43,13.04,0.02,0.2,,58
Amaravati,5/6/2020,14.28,35.43,1.65,5.46,4.24,8.57,,6.68,19.59,0.02,0.29,,44
Amaravati,5/7/2020,18.76,41.98,1.52,5.55,3.77,8.35,,7.49,19.9,0.02,0.33,,45
Amaravati,5/8/2020,18.81,47.91,1.44,5.84,4.27,8.22,,8.18,23.44,0.02,0.28,,43
Amaravati,5/9/2020,18.48,43.55,1.28,4.73,3.54,7.79,,7.27,24.81,0.02,0.27,,54
Amaravati,5/10/2020,14.26,34.12,1.36,4.75,3.64,7.39,,8.02,23.19,0.07,0.47,137.45,42
Amaravati,5/11/2020,17.1,44.23,1.56,6.38,4.65,7.21,,5.75,20.46,0.05,0.51,,43
Amaravati,5/12/2020,13.9,36.24,1.5,5.16,3.81,7.31,,13.56,19.85,0.05,0.36,,39
Amaravati,5/13/2020,13.11,36.14,1.52,4.87,3.64,6.48,,9.04,19.71,0.04,0.32,,41
Amaravati,5/14/2020,12.05,34.03,1.5,4.68,3.71,6.75,,7.64,17.21,0.03,0.3,,36
Amaravati,5/15/2020,13.47,36.01,1.52,5.95,4.37,5.54,,8.83,21.83,0.06,0.54,,39
Amaravati,5/16/2020,,35.01,1.47,5.28,4.02,6.14,,9.38,28.31,0.03,0.52,,41
Amaravati,5/17/2020,,44.57,1.78,14.19,8.73,8.16,,11.96,29.87,0.05,0.94,,48
Amaravati,5/18/2020,30.46,54.8,5.95,14.07,12.33,7.88,,10.08,33.55,0.13,1.07,0.1,55
Amaravati,5/19/2020,34.15,71.94,1.64,15.46,9.56,8.67,,10.28,51.22,0.14,1.45,,77
Amaravati,5/20/2020,41.46,108.2,1.56,16.97,9.83,9.88,,13.83,49.1,0.31,2.08,0.22,93
Amaravati,5/21/2020,27.66,102.68,1.43,11.41,6.96,8.65,,10.27,50.56,0.2,1.08,,105
Amaravati,5/22/2020,29.9,103.68,1.47,10.11,6.4,11.55,0.38,12.04,52.47,0.16,0.82,0.1,103
Amaravati,5/23/2020,21.15,72.04,1.51,4.87,3.81,12.22,0.52,9.79,50.76,0.02,0.24,,88
Amaravati,5/24/2020,18.09,60.29,1.41,4.2,3.39,10.29,0.45,8.1,48,5.09,0.2,4.95,66
Amaravati,5/25/2020,16.93,57.4,1.42,3.63,3.07,11.22,0.47,7.48,40.43,6.44,0.26,,57
Amaravati,5/26/2020,22.01,72.96,1.57,3.89,3.35,11.74,0.49,7.24,48.22,0.42,0.31,,69
Amaravati,5/27/2020,24.22,66.04,1.39,4.33,3.44,11.7,0.5,7.19,24.36,4.9,0.42,84.72,69
Amaravati,5/28/2020,25.16,66.12,1.57,5.41,4.15,12.46,0.6,7.99,13.71,0.44,0.38,0.1,64
Amaravati,5/29/2020,20.96,68.44,1.52,5.69,4.27,10.97,0.6,10.85,17.45,0.08,0.49,0.1,70
Amaravati,5/30/2020,22.5,62.08,1.46,6.94,4.87,10.98,0.57,17.09,21.62,0.09,0.67,0.12,63
Amaravati,5/31/2020,19.96,58.07,1.42,5.43,4.05,10.08,0.55,9.11,21.51,0.05,0.34,0.3,62
Amaravati,6/1/2020,8.09,37.02,1.58,9.29,6.22,4.7,0.48,9.85,14.81,0.12,1.75,0.12,46
Amaravati,6/2/2020,12.78,38.24,1.66,9.72,6.52,10.11,0.51,6.61,18.39,0.09,1.19,0.22,41
Amaravati,6/3/2020,10.23,35.22,1.85,10.19,6.6,7.4,0.5,12.47,19.36,0.1,1.18,0.19,40
Amaravati,6/4/2020,7.89,34.52,1.76,11.09,7.33,7.17,0.54,16.74,18.72,0.05,0.45,0.1,39
Amaravati,6/5/2020,9.33,36.04,1.6,8.83,5.99,8.01,0.44,11.48,30.3,0.08,0.47,0.1,58
Amaravati,6/6/2020,10.14,43.39,1.33,7.06,4.83,6.2,0.42,12.83,35.22,0.09,0.55,0.19,44
Amaravati,6/7/2020,11.49,47.69,1.48,6.9,4.87,6.93,0.42,12.34,38.36,0.06,0.36,0.1,50
Amaravati,6/8/2020,12.19,49.5,1.62,10.16,6.72,7.12,0.44,11.95,38.42,0.1,0.7,0.15,54
Amaravati,6/9/2020,10.39,44.35,1.56,10.06,6.61,6.04,0.5,15.46,40.05,0.09,0.76,0.22,61
Amaravati,6/10/2020,10.18,25.24,8.5,15.4,15.51,9.51,0.59,13.75,40.65,0.09,1.21,0.17,58
Amaravati,6/11/2020,5.6,12.17,2.27,14.58,9.6,9.96,0.51,18.82,42.45,0.11,1.63,0.1,53
Amaravati,6/12/2020,4.7,12.83,1.66,10.03,6.69,8.76,0.53,13.34,34.37,0.08,0.52,0.1,47
Amaravati,6/13/2020,4.65,12.76,1.48,8.44,5.7,7.97,0.48,12.34,35.22,0.06,0.28,0.1,44
Amaravati,6/14/2020,11.71,25.81,1.6,8.06,5.6,8.67,0.53,16.01,39.34,0.07,0.57,0.29,47
Amaravati,6/15/2020,10.07,24.04,2.12,9.21,6.62,8.73,0.48,12.19,33.82,0.06,0.41,0.1,41
Amaravati,6/16/2020,11.61,31.52,4.88,16.7,12.86,8.35,0.5,16.28,31.19,0.09,0.78,0.36,39
Amaravati,6/17/2020,8.73,18.33,4.64,16.26,11.66,10.3,0.38,17.54,29.47,0.09,0.54,0.2,36
Amaravati,6/18/2020,11.2,27.86,3.27,12.95,9.54,12.91,0.62,17.81,31.9,0.1,0.81,0.19,42
Amaravati,6/19/2020,11.03,34.97,3.18,13.74,9.89,8.92,0.64,10.39,31.37,0.14,1.43,0.32,43
Amaravati,6/20/2020,16.99,45.43,1.52,9.48,6.27,8.6,0.55,11.19,41.25,0.11,1.29,0.16,55
Amaravati,6/21/2020,12.74,30.83,1.66,10.27,6.81,9.45,0.59,13.28,34.95,0.13,0.77,0.15,50
Amaravati,6/22/2020,17.97,50.49,2.05,12.1,8.1,10.92,0.65,11.68,30.15,0.17,1.55,0.53,46
Amaravati,6/23/2020,15.48,34.84,2.07,9.15,6.55,13.53,0.58,15.88,39.82,0.11,0.8,0.16,55
Amaravati,6/24/2020,14.88,35.33,1.86,10.59,7.15,11.62,0.59,14.04,38.01,0.13,1.03,0.21,52
Amaravati,6/25/2020,20.74,37.36,1.9,8.44,6.03,14.57,0.62,15.38,39.32,0.13,0.89,0.28,50
Amaravati,6/26/2020,10.41,20.55,1.88,7.21,5.37,12.46,0.53,15.86,25.96,0.06,0.3,,37
Amaravati,6/27/2020,14.5,24.43,1.53,6.53,4.72,8.97,0.55,13.75,33.76,0.06,0.27,0.15,42
Amaravati,6/28/2020,16.65,28.51,1.43,8.32,5.59,9.77,0.66,10.86,37.34,0.1,0.43,0.12,49
Amaravati,6/29/2020,20.96,32.56,1.65,9.55,6.43,14.3,0.66,14.79,43.29,0.12,0.69,0.1,56
Amaravati,6/30/2020,21.34,35.16,1.74,10.69,7.1,13.38,0.66,14.58,45.32,0.14,1.42,0.2,61
Amaravati,7/1/2020,22,34,1.5,9.68,6.4,8.45,0.59,10.88,29.15,0.1,0.5,,54
Amritsar,2/27/2017,13.42,14.92,15.06,8.86,,1.6,0.81,11,12.96,,,,
Amritsar,2/28/2017,12.45,13.8,17.44,8.05,,1.73,0.67,16.06,11.88,,,,52
Amritsar,3/1/2017,19.52,21.88,14.77,6.02,,1.48,0.43,26.24,11.53,,,,31
Amritsar,3/2/2017,77.71,80.27,10.49,3.88,,1.29,0.36,22.35,18.68,,,,106
Amritsar,3/3/2017,19.7,33.08,9.91,3.13,,1.15,0.37,14.29,22.22,,,,98
Amritsar,3/4/2017,22.91,56.19,10.69,4.13,,1.86,0.47,8.42,26.62,,,,61
Amritsar,3/5/2017,29.56,44.5,8.95,2.66,,1.26,0.39,10.95,27.03,,,,62
Amritsar,3/6/2017,46.13,62.88,9.62,4.89,,1.99,0.54,30.27,26.3,,,,78
Amritsar,3/7/2017,44.3,52.12,9.4,5.32,,2.4,0.36,28.74,20.63,,,,72
Amritsar,3/8/2017,41.23,52.75,11.18,7.88,,2.51,0.39,21.4,22.44,,,,71
Amritsar,3/9/2017,29.88,33.2,10.64,11.66,,2.31,0.36,4.26,21.11,,,,59
Amritsar,3/10/2017,37.93,43.69,12.84,15.11,,2.05,0.2,6.38,25.06,,,,73
Amritsar,3/11/2017,32.46,50.76,10.93,19.67,,6.82,0,4.71,18.79,,,,56
Amritsar,3/12/2017,25.65,54.59,12.14,26.15,,11.73,0,8.32,15.64,,,,55
Amritsar,3/13/2017,41.36,77.43,11.4,25.88,,11.71,0,4.75,20.27,,,,69
Amritsar,3/14/2017,51.88,86.64,9.24,25.21,,11.76,0,7.72,30.34,,,,80
Amritsar,3/15/2017,51.59,86.11,10.03,26.05,,12.33,0,9.06,24.63,,,,89
Amritsar,3/16/2017,45.46,82.73,13.23,26.38,,12.56,0,2.94,19.36,0,0,0,79
Amritsar,3/17/2017,152.17,93.68,13.86,27.06,,12.45,0,3.17,21.78,,,,262
Ahmedabad,1/28/2015,73.24,,5.72,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41,
Ahmedabad,1/29/2015,83.13,,6.93,28.71,33.72,,6.93,49.52,59.76,0.02,0,3.14,209
Ahmedabad,1/30/2015,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0,4.81,328
Ahmedabad,1/31/2015,94.52,,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514
Ahmedabad,2/1/2015,135.99,,43.48,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87,782
Ahmedabad,2/2/2015,178.33,,54.56,35.31,72.8,,54.56,55.04,107.38,0.46,0.06,35.61,914
Ahmedabad,2/3/2015,139.7,,30.61,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87,660
Ahmedabad,2/4/2015,80.65,,2.37,22.83,24,,2.37,25.73,47.3,0,0,0,294
Ahmedabad,2/5/2015,58.36,,2.6,21.39,23.31,,2.6,32.66,53.54,0,0,0,149
Ahmedabad,2/6/2015,79.29,,1.16,26.94,26.83,,1.16,67.41,59.3,0,0,0,190
Ahmedabad,2/7/2015,88.7,,7.29,31.32,37.73,,7.29,80.09,44.76,0,0,0,247
Ahmedabad,2/8/2015,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,0,0,0.27,379
Ahmedabad,2/9/2015,113.93,,4.32,24.27,26.86,,4.32,48.73,39.94,0.02,0,3.55,341
Ahmedabad,2/10/2015,105.39,,1.41,18.21,18.75,,1.41,35.91,56.15,0,0,3.31,256
Ahmedabad,2/11/2015,66.52,,6.34,23.8,28.24,,6.34,66.58,53.14,9.7,9.63,16.49,388
Ahmedabad,2/12/2015,65.04,,14.19,30.1,44.21,,14.19,65.91,31.88,7.72,17.46,2.51,288
Ahmedabad,2/13/2015,103.36,,18.18,39.56,57.33,,18.18,80.43,40.11,11.29,24.35,3.35,510
Ahmedabad,2/14/2015,177.33,,37.49,47.58,77.85,,37.49,99.72,36.47,17,52.66,6.98,761
Ahmedabad,2/15/2015,113.25,,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475
Ahmedabad,2/16/2015,99.7,,19.85,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4,536
Ahmedabad,2/17/2015,80.61,,15.96,21.04,35.67,,15.96,54.7,36.2,8.14,18.75,2.52,479
Ahmedabad,2/18/2015,100.79,,16.24,25.93,41.91,,16.24,43.11,37.43,10,32.41,4.04,592
Ahmedabad,2/19/2015,107.99,,11.25,30.09,40.47,,11.25,84.86,31.94,9.2,24.03,3.25,427
Ahmedabad,2/20/2015,140.29,,33.84,36.14,68.85,,33.84,101.53,40.98,20.12,43.51,7.48,588
Ahmedabad,2/21/2015,239.96,,61.95,46.25,106.92,,61.95,84.87,33.55,22.14,53.98,15.44,1141
Ahmedabad,2/22/2015,142.96,,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669
Ahmedabad,2/23/2015,238.41,,77.7,55.07,131.32,,77.7,89.07,37.3,50.61,163.64,28.46,1247
Ahmedabad,2/24/2015,118.72,,12.56,32.01,42.56,,12.56,61.54,38.8,16.89,46.52,6.05,411
Ahmedabad,2/25/2015,52.99,,2.23,10.45,10.39,,2.23,32.76,67.25,3.85,11.39,0.81,292
Ahmedabad,3/1/2015,61.12,,3.58,16.81,20.92,,3.58,28.44,30.48,2.69,1.58,1.32,
Ahmedabad,3/2/2015,60.78,,9.07,18.21,27.34,,9.07,29.48,34.75,2.05,0.55,0.22,189
Ahmedabad,3/3/2015,91.83,,12.99,28.71,40.76,,12.99,39.71,38.46,2.69,1.74,2.25,408
Ahmedabad,3/4/2015,93.88,,18.21,29.38,47.01,,18.21,62.75,46.79,5.21,2.55,1.55,383
Ahmedabad,3/5/2015,173.01,,48.44,42.27,90.73,,48.44,78.76,59.39,9.72,9.96,4.13,780
Ahmedabad,3/7/2015,105.45,,2.5,16.1,18.66,,2.5,29.29,69.9,17.77,5.75,0.39,
Ahmedabad,3/8/2015,71.56,,3.51,16.83,20.32,,3.51,30.28,57.16,3.95,8.01,0.63,190
Ahmedabad,3/9/2015,119.8,,4.13,24.07,27.9,,4.13,50.35,50.49,4.85,12.15,1.35,233
Ahmedabad,3/10/2015,106.71,,5.39,25.59,30.51,,5.39,38.85,60.17,5.58,14.17,1.74,297
Ahmedabad,3/11/2015,118.49,,4.11,28.94,31.83,,4.11,54.2,53.61,7.9,21.32,2.78,330
Ahmedabad,3/12/2015,106.01,,4.28,27.31,30.54,,4.28,70.29,40.91,9.45,15.54,1.71,252
Ahmedabad,3/13/2015,97.34,,3.67,21.58,24.62,,3.67,64.39,45.69,5.61,15.02,2.25,244
Ahmedabad,3/14/2015,83.92,,6.42,25.03,30.8,,6.42,67.53,34.94,8.24,21.47,3.09,234
Ahmedabad,3/15/2015,49.51,,3.1,14.16,16.15,,3.1,48.33,37.95,4.34,11.34,1.09,219
Ahmedabad,3/16/2015,30.76,,2.72,14.14,16.98,,2.72,43.62,54.78,3.58,9.38,0.84,118
Ahmedabad,3/17/2015,50.29,,5.34,29.84,33.28,,5.34,59.23,45.44,5.45,15.12,1.65,231
Ahmedabad,3/18/2015,57.69,,25.36,29.48,54.79,,25.36,58.33,52.87,9.55,32.11,4.53,286
Ahmedabad,3/19/2015,105.06,,46.24,37.05,82.23,,46.24,53.62,45.65,20.89,75.36,12.7,883
Ahmedabad,3/20/2015,94.1,,22.14,36.53,57.49,,22.14,61.31,46.77,17.5,52.01,7.9,720
Ahmedabad,3/21/2015,111.89,,22.25,43.29,64.53,,22.25,66.44,50.57,18.03,56.86,8.86,570
Ahmedabad,3/22/2015,108.59,,25.38,39.34,63.01,,25.38,75.8,46.68,15.78,48.41,7.07,589
Ahmedabad,3/23/2015,130.76,,45.61,41.03,85.76,,45.61,65.77,41.58,24.12,85.31,12.56,818
Ahmedabad,3/24/2015,143.55,,27.3,31.15,57.16,,27.3,50.98,35.38,18.61,72.78,10.15,737
Ahmedabad,3/25/2015,165.07,,23.83,34.48,57.71,,23.83,64.32,43.79,29.14,64.01,8.51,585
Ahmedabad,3/26/2015,166.85,,17.93,43.3,60.07,,17.93,79.71,53.44,24.09,67.38,9.76,616
Ahmedabad,3/27/2015,147.38,,6.4,35.82,40.22,,6.4,46.89,17.94,14.23,41.88,5.7,437
Ahmedabad,3/28/2015,158.25,,5.86,27.89,32.65,,5.86,142.36,38.54,13.67,21.24,2.83,321
Ahmedabad,3/29/2015,237.76,,4.99,21.8,25.37,,4.99,96.28,39.77,8.68,14.95,1.28,372
Ahmedabad,3/30/2015,133.37,,3.88,17.99,21.02,,3.88,57.34,39.66,5.76,11.74,1.04,339
Ahmedabad,3/31/2015,133.3,,6.52,20,26.18,,6.52,51.58,59.03,9.94,21.13,2.31,339
Ahmedabad,4/1/2015,96.04,,3.8,20.07,23.46,,3.8,62.42,46.61,7.54,13.44,1.65,324
Ahmedabad,4/2/2015,77.69,,5.24,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6,222
Ahmedabad,4/3/2015,53.07,,4.17,13.82,17.45,,4.17,40.36,21.76,4.47,6.94,0.42,169
Ahmedabad,4/4/2015,63.11,,5.63,15.5,18.49,,5.63,38.21,4.72,5.2,8.17,0.73,220
Ahmedabad,4/5/2015,156.76,,3.92,16.7,20.97,,3.92,26.32,37.11,3.88,10.78,0.97,
Ahmedabad,4/6/2015,120.96,,4.23,20.86,25.02,,4.23,35.54,35.66,6.05,15.85,1.68,303
Ahmedabad,4/7/2015,138.63,,5.65,25.47,30.67,,5.65,87.43,29.77,11.25,24.67,3.12,314
Ahmedabad,4/8/2015,144.36,,15.82,30.69,46.1,,15.82,66.39,27.34,17.22,49.56,7.71,378
Ahmedabad,4/9/2015,85.03,,3.3,26.7,27.41,,3.3,59.16,35.89,7.58,29.19,4.08,415
Ahmedabad,4/10/2015,134.6,,5.9,26.27,28.7,,5.9,34.53,7,0,0,0,
Ahmedabad,4/11/2015,61.06,,3.52,14.03,17.59,,3.52,8.08,19.54,0,0,0.01,126
Ahmedabad,4/12/2015,39.42,,5.28,19.56,24.66,,5.28,17.66,31.3,0,0,0,175
Ahmedabad,4/13/2015,111.86,,3.89,22.51,25.17,,3.89,15.84,31.23,0,0,0,226
Ahmedabad,4/14/2015,58.37,,5.74,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4,244
Ahmedabad,4/15/2015,95.37,,18.01,26.23,44.34,,18.01,13.59,41.64,1.21,3.28,20.78,315
Ahmedabad,4/16/2015,141.3,,30.8,36.88,66.53,,30.8,41.06,37.66,0.66,0.01,28.13,678
Ahmedabad,4/17/2015,106.68,,19.91,46.38,54.77,,19.91,31.56,48.49,1.67,0,15.95,774
Ahmedabad,4/18/2015,109.48,,4.3,20.27,22.86,,4.3,46.6,31.34,0.05,0,6.19,285
Ahmedabad,4/19/2015,126.04,,6.99,20.18,26.78,,6.99,79.56,28.71,0.2,0,6.4,321
Ahmedabad,4/20/2015,71.22,,16.73,21.32,37.58,,16.73,50.09,28.39,1.38,23.54,6.09,358
Ahmedabad,4/21/2015,97.87,,6.3,17.96,23.45,,6.3,13.85,34.16,0.21,4.91,2.95,357
Ahmedabad,4/22/2015,63.38,,3.44,13.28,15.44,,3.44,24.79,43.62,0,0,1.23,189
Ahmedabad,4/23/2015,75.29,,3.35,14.29,17.97,,3.35,76.05,60.71,0,0.01,2.27,
Ahmedabad,4/24/2015,80.9,,5.7,18.62,24.23,,5.7,65.44,22.8,0.05,0.09,3.46,214
Ahmedabad,4/25/2015,103.29,,4.55,19.82,23.69,,4.55,85.42,22.18,0.06,1.17,2.58,253
Ahmedabad,4/26/2015,107.5,,5.29,15.56,19.73,,5.29,74.37,10.12,0.09,0.16,2.91,239
Ahmedabad,4/27/2015,161.14,,3.11,14.77,16.12,,3.11,118.35,59.73,0,2.55,0,
Ahmedabad,4/28/2015,102.58,,3.88,12.74,16.82,,3.88,41.94,26.89,0.02,6.4,0.76,
